"","p_pfspd","p_pfsd","p_pdd","p_dd","p_ae","rr","u_pfs","u_pd","u_d","u_ae","c_pfs","c_pd","c_d","c_thx","c_ae","t_qaly_comp","t_qaly_int","t_qaly_d_comp","t_qaly_d_int","t_costs_comp","t_costs_int","t_costs_d_comp","t_costs_d_int","t_ly_comp","t_ly_int","t_ly_d_comp","t_ly_d_int","t_ly_pfs_d_comp","t_ly_pfs_d_int","t_ly_pd_d_comp","t_ly_pd_d_int","t_qaly_pfs_d_comp","t_qaly_pfs_d_int","t_qaly_pd_d_comp","t_qaly_pd_d_int","t_costs_pfs_d_comp","t_costs_pfs_d_int","t_costs_pd_d_comp","t_costs_pd_d_int","t_qaly_ae_int","t_costs_ae_int","inc_ly","inc_qaly","inc_costs","NMB_int","NMB_comp","iNMB","NHB_int","NHB_comp","iNHB"
"1",0.257772304227161,0.0700795875151054,0.166162097628097,1,0.0374224272071654,0.800296327249657,-1,0.601120738401522,0,0.0912196463829283,1294.71877950975,2065.06625882138,0,9970.14880334587,472.581878062702,4.32688663621563,4.55642625908015,3.95741680000373,4.15664858266357,12355.0165324113,37914.2367174857,9648.11937770701,31938.866833462,6.74764784183164,7.02714709748551,6.15271645450143,6.39025625010238,1.96045364605162,2.4137080127113,4.19226280844981,3.97654823739108,1.43736068501514,1.7696766304904,2.52005611498859,2.3903856127498,2365.73743127064,25081.5879451401,7282.38194643637,6839.59372739073,0.0034136605766285,17.685160931227,0.237539795600953,0.199231782659842,22290.747455755,300593.019779623,306945.224622591,-6352.20484296767,3.75741274724529,3.83681530778239,-0.0794025605370959
"2",0.0917902256784724,0.146251911137848,0.182260345217744,1,0.0691511881401735,0.705447622212388,0.850828827726184,2,0,0.104789579340601,1000.12804752119,2384.31889627197,0,10163.936563266,421.376234663609,3.52678949598573,3.79887407827195,3.27275821067416,3.51258388761668,8206.41659813592,45526.0751691343,6414.02969398402,37843.4870187518,5.29956477457044,5.39875381252679,4.86762297224761,4.95009006325491,3.01063669962857,3.47124594919073,1.85698627261905,1.47884411406418,2.5615364938544,2.95343612169922,0.711221716819759,0.566394089833581,2740.54860574741,34916.5187752451,3673.48108823661,2897.8295762257,0.00724632391611155,29.1386672810211,0.082467091007298,0.239825676942525,31429.4573247678,243163.223990583,255406.627159949,-12243.4031693658,3.03954029988229,3.19258283949936,-0.153042539617072
"3",-1,0.0985270559509971,0.154056952054434,1,0.019507790021992,0.736878316152623,0.667541392341619,0.77825813719932,0,0.0771268030892504,631.492453323065,1469.86313065917,0,9805.36490744291,468.175116845788,5.02777491255588,5.13796520784679,4.54102578735442,4.62622904714296,7574.39275059336,44213.3496047146,5709.68646114701,36475.2486128631,6.89466563673518,7.13864557930028,6.24436188877862,6.44559700635095,2.87851367572687,3.50989996298176,3.36584821305175,2.93569704336919,1.9215270269691,2.34300350826864,2.61949876038531,2.28473011235406,1659.3496995838,32977.8748252545,4050.33676156321,3488.24072573568,0.00150457347973262,9.13306187294921,0.201235117572332,0.0852032597885444,30765.5621517161,333623.075158574,357572.376527207,-23949.3013686325,4.17028843948218,4.46965470659008,-0.299366267107907
"4",0.213430365922455,0.0668400021416607,2,1,0.078707836294114,0.729682220997966,0.669711909660406,0.541779628790564,0,0.201230082938359,752.755205745891,2043.14122451607,0,10023.0255717051,527.921029933723,4.00224719116098,4.36717884061449,3.66609676047749,3.97684576406786,10540.753591617,44567.7514594359,8124.51484415731,36942.8842120058,6.78086823322102,7.28871511669161,6.19120484788569,6.61769288712596,2.43744654674686,3.18412952451469,3.75375830113884,3.43356336261127,1.632386981517,2.13244946446881,2.0337097789605,1.86023468402441,1691.6068843086,31109.651411119,6432.90795984871,5791.68127888657,0.0158383844253633,41.5515220002435,0.42648803924027,0.310749003590369,28818.3693678485,281204.776913423,285163.225994042,-3958.44908061898,3.51505971141779,3.56454032492553,-0.0494806135077372
"5",0.213932232521351,0.0670222017723439,0.201756315866952,1,0.0453442596392035,0.766222053917232,0.855521745626798,0.741432017913153,0,0.165191396955189,991.272844350004,1785.46837291299,0,9977.84843047475,584.002397254388,4.97873525041898,5.38528878270618,4.58285365670696,4.93064658445097,9253.8731363554,41932.4622222649,7334.8796322493,35158.0520033275,6.32122767317489,6.77395841442718,5.80723808417481,6.19062622877786,2.42950361097208,3.05205890200542,3.37773447320273,3.13856732677244,2.07849317026544,2.61110275959949,2.50436048644152,2.32703430644518,2220.74906707404,30443.1094395991,5114.13056517527,4688.46140739741,0.0074904815936988,26.4811563310203,0.383388144603055,0.347792927744008,27823.1723710782,359293.67475275,359293.412904308,0.261848442427436,4.49117093440938,4.49116766130385,0.00000327310553038807
"6",0.153508106123123,0.0608190351272938,0.240916988188148,1,0.0426675136882697,0.76607087016758,0.78537408264307,0.671330135237347,0,0.1649217388099,900.304248487041,1174.33739146955,0,9995.87410165499,497.949341727932,4.8656527513268,5.37974273360454,4.46750761091734,4.89862175155831,6776.75034280024,52516.8338901461,5401.55982191752,42800.2476597778,6.62549644803501,7.25562820096585,6.07297919808298,6.59721560301581,3.42441377608,4.18039641724999,2.64856542200298,2.41681918576582,2.68944582797912,3.28317500128209,1.77806178293822,1.62248355082438,2780.62189924127,40423.9621398848,2620.93792267624,2355.03925953878,0.00703680054816463,21.2462603542414,0.524236404932832,0.431114140640962,37398.6878378603,349089.492464887,351999.04905147,-2909.55658658331,4.36361865581108,4.39998811314338,-0.0363694573322914
"7",0.184736451542891,0.0845598354292585,0.209412498145919,1,0.0450621847853383,0.681956333396286,0.816661820615031,0.632777974971583,0,0.144749477173055,783.614673319765,2066.58357468022,0,10056.3300307352,494.240573902037,4.28263562757689,4.800845763007,3.9550715623038,4.4006611908711,8876.34507756234,45615.9490963115,6993.09545044763,37850.0512026475,5.97955272709473,6.53433763828868,5.50346986450219,5.97110410783471,2.57008463398868,3.41955407044377,2.93338523051351,2.55155003739094,2.09888999632791,2.79261925286015,1.85618156597589,1.61456466569891,1851.22082476062,33435.5901491135,5141.87462568701,4392.18949346446,0.0065227276879533,22.2715600695852,0.46763424333252,0.445589628567303,30856.9557521999,314202.844067041,309412.629533856,4790.21453318433,3.92753555083801,3.8676578691732,0.0598776816648042
"8",0.136897519242282,0.0771685514238245,0.174711521437196,1,0.0303360597733751,0.664503926591891,0.764049120476041,0.644383719075377,0,0.0822682607277197,1265.90458531004,2200.58958639845,0,10040.868914182,577.66163397591,5.13446248433064,5.67963104490995,4.66459394235073,5.11768362171919,12605.8942751511,61620.7672916341,9635.2012869624,49245.1123728448,7.28670768218091,7.91692033478089,6.60198031344391,7.11665748982759,3.42944000444433,4.4651260068424,3.17254030899957,2.65153148298519,2.62026061912105,3.41157559834263,2.04433332322969,1.70860371825145,3915.10102029597,44540.8243794151,5720.10026666643,4686.76401557272,0.00249569487488771,17.5239778570787,0.514677176383685,0.453089679368461,39609.9110858824,360169.577364691,363532.314101096,-3362.73673640549,4.50211971705863,4.5441539262637,-0.0420342092050686
"9",0.138045921493782,0.133949942972849,0.230940962222327,1,0.0531965176956121,0.825896035823056,0.77797622109695,0.542452203519211,0,0.181616669132342,902.706111047988,1459.30173593739,0,9948.80537406931,311.191739755458,3.27230076773473,3.41614501530772,3.04900709730517,3.17466760958174,5617.75286887779,35586.2653718483,4583.37726322488,30391.3643251294,4.87040253669914,5.00899778334125,4.51946963993334,4.63786994900648,2.53651767038139,2.83837808702593,1.98295196955195,1.79949186198055,1.97335043194896,2.20819065818883,1.07565666535622,0.976138325746237,2106.30666002448,28141.7686564241,2477.0706032004,2233.04135181469,0.00966137435331676,16.5543168906296,0.118400309073138,0.125660512276573,25807.9870619045,223582.04444141,239337.190521189,-15755.1460797787,2.79477555551763,2.99171488151486,-0.196939325997234
"10",0.10450937368024,0.0717115657952039,0.210290793708588,1,0.0664058657838191,0.68739984261162,-1,0.761907825792804,0,0.196624558045165,774.638360584254,-1,0,10001.6722647639,529.937629711734,5.62914210664736,6.17435951469311,5.09535820499845,5.53387222733568,8230.65752811763,66990.7477317465,6264.26045500912,52470.8823256511,7.44787261488052,8.19586158713866,6.74266386505651,7.34841926955707,4.29978092615404,5.32101209475155,2.44288293890247,2.02740717480552,3.23410657635292,4.00223185879423,1.86125162864552,1.5446973925528,2948.57848217028,49734.5334546768,3315.68197283884,2701.1579038619,0.01305702401135,35.1909671124327,0.605755404500553,0.438514022337238,46206.621870642,390238.895861204,401364.395944867,-11125.5000836629,4.87798619826505,5.01705494931083,-0.139068751045787
