"","p_ae","r_exp_pfs_comp","rr_thx_pfs","r_exp_pfs_int","shape_weib_os","scale_weib_os_comp","rr_thx_os","scale_weib_os_int","u_pfs","u_pd","u_d","u_ae","c_pfs","c_pd","c_d","c_thx","c_ae","t_qaly_comp","t_qaly_int","t_qaly_d_comp","t_qaly_d_int","t_costs_comp","t_costs_int","t_costs_d_comp","t_costs_d_int","t_ly_comp","t_ly_int","t_ly_d_comp","t_ly_d_int","t_ly_pfs_d_comp","t_ly_pfs_d_int","t_ly_pd_d_comp","t_ly_pd_d_int","t_qaly_pfs_d_comp","t_qaly_pfs_d_int","t_qaly_pd_d_comp","t_qaly_pd_d_int","t_costs_pfs_d_comp","t_costs_pfs_d_int","t_costs_pd_d_comp","t_costs_pd_d_int","t_qaly_ae_int","t_costs_ae_int","inc_ly","inc_qaly","inc_costs"
"2459",0.0310210140367943,0.780496550086295,0.652739657744742,0.509461050974281,1.74689643506438,12.839269692757,1.23180839788282,15.8155202302205,0.751286597322379,0.639126582721314,0,0.100134879983043,709.555083643455,2213.7100884563,0,10142.5261307346,314.781485866779,7.0600323658148,8.71288074289598,6.30093051975445,7.62238370723361,22853.0093576528,42616.0446508017,16896.4949047334,32942.2384302659,10.8979772061313,13.3732061324181,9.71425732638713,11.6765418978241,0.822846104232588,1.45062099154736,8.89141122215454,10.2259209062768,0.618193249768877,1.08983210874403,5.68273726998558,6.53565788400711,558.767277816231,14846.1429230028,16337.7276269171,18086.3306663716,0.00310628551752669,9.76484089159634,1.96228457143699,1.32145318747916,16045.7435255326
"2460",0.0533861181639603,0.80781611062805,0.612749907518708,0.49498924707946,1.82264631003341,15.0259636642903,0.984212886972746,14.7887470775787,0.783772697700345,0.608595890196306,0,0.159334252794008,780.051467566098,2074.36159864564,0,9996.42438136684,473.920852517695,7.89724081839719,7.90139227799946,6.95543547256406,6.9785783267523,25395.6311733905,39640.3123054822,18187.2293724729,31285.0717475588,12.7445990967508,12.5475547256266,11.2031965678096,11.0478820839371,0.783300519565769,1.50356052319261,10.4198960482438,9.54432156074453,0.613929561330145,1.17844968741841,6.34150591123391,5.80863487658112,585.305941758522,15261.9704993387,17601.9234307144,15997.8004535872,0.00850623724722722,25.3007946328744,-0.155314483872441,0.0231428541882437,13097.8423750859
"2461",0.0503878059894638,0.755177530232116,0.681086823604592,0.514341465323353,1.97678655009347,12.3608350521971,1.05240881706804,13.0086517952559,0.769245593151669,0.638057445383113,0,0.151541428271508,1044.03706800726,2308.17255793059,0,9943.94196103574,443.493986184067,6.78455410989704,7.21833671934238,6.11026689956427,6.47228523222856,23001.6988665588,38362.7216195291,17414.217479524,30988.5606163791,10.4508637939071,11.0192397034814,9.39909854563365,9.86097946741217,0.862136515812852,1.43343516591979,8.5369620298208,8.42754430149238,0.66319471548417,1.10266368445243,5.4470721840801,5.37725738786324,860.62934407083,14859.9011912406,16553.5881354532,16106.3127362052,0.00763584008711097,22.3466889333367,0.461880921778521,0.362018332664292,13574.3431368551
"2462",0.0796306757055393,0.792079117750443,0.631062949517403,0.499851784298737,1.90702964568603,12.6070940948583,1.11447904912295,14.0503422390413,0.634351903310305,0.612020096802595,0,0.0986963219384642,1047.10031345253,2617.50044045679,0,10065.5864083858,506.82205738479,6.55076537292844,7.32480538701124,5.8733426545271,6.49662930075452,26637.3671645397,44353.7806620945,19997.6122537822,35018.2583169752,10.6733072027884,11.9248164753634,9.5672497609962,10.5736987700996,0.805735517249374,1.48543337552252,8.76151424374682,9.08826539457712,0.511119858931853,0.942287489003363,5.36222279559525,5.56220106655677,807.759790914588,15554.9227334573,19189.8524628676,19422.9770006259,0.00785925480561135,40.3585828920224,1.00644900910345,0.623286646227421,15020.6460631929
"2463",0.0425492492816715,0.854979214974261,0.60204984269364,0.514740101881586,1.68540318196133,17.1602900264802,1.03091169038232,17.6907435986496,0.770139280542411,0.608850095978975,0,0.106256133590775,842.474835553202,1437.52366043527,0,10102.9018339644,579.078890555042,8.87589455016903,9.22773488455226,7.69252557165831,7.98492938169972,20234.2534013781,35380.0514818831,14018.0274526949,27588.8742533492,14.3820922897421,14.7699270299643,12.4434656853952,12.7428361500124,0.721190916236627,1.43204572619882,11.7222747691586,11.3107904238136,0.555417453364198,1.10287466527859,7.13710811829411,6.88657583513699,582.874879640624,14788.4161962952,13435.1525730543,12775.818684986,0.00452111871586046,24.6393720679803,0.299370464617231,0.292403810041404,13570.8468006543
"2464",0.0830444953355345,0.828127086268383,0.609190597393388,0.504487234401482,2.22953208795014,11.4295916984866,1.00846479163872,11.5263408107299,0.799321331447032,0.396022734545065,0,0.0981365408770577,1037.33579250976,2161.1208456067,0,9783.48260429092,387.564659940321,4.12368377380382,4.45123988952804,3.77080585752408,4.07839337995299,19924.0385663334,34211.1496164937,15526.6623230496,28476.1731679008,9.62271360224092,9.70836390844438,8.75215672941042,8.82350580766839,0.755650574331296,1.46847567977274,7.99650615507912,7.35503012789565,0.604007623183206,1.17378393555353,3.16679823434088,2.91275914391057,751.372086048396,14979.3661014168,14775.2902370012,13464.6219548893,0.0081496995111103,32.185111594632,0.0713490782579775,0.30758752242891,12949.5108448511
"2465",0.1050003748209,0.756356640686785,0.694031704317413,0.524935488407643,2.08163253308597,12.0239233884326,1.00840971897643,12.1250412051235,0.73466563553835,0.38709813509059,0,0.126966693969702,771.265089516142,1644.73627501761,0,9958.87771533085,569.222485724981,4.23584272658004,4.4530943896351,3.84795660382076,4.04968254834693,15918.6732791869,30058.5213388663,12187.9165556128,25041.6587508536,10.148322915606,10.2376112726553,9.16812178996923,9.24154444338901,0.860246588806759,1.39722349985316,8.30787520116247,7.84432094353585,0.631993606885416,1.02649209050874,3.21596299693535,3.03652200829478,634.410196726786,14156.536859578,11553.506358886,10825.3533169181,0.0133315504565892,59.7685743576072,0.073422653419783,0.201725944526171,12853.7421952408
"2466",0.0273711127168954,0.782233584977304,0.634594127369328,0.496400839257654,1.85513186335177,13.6291832309004,1.19192719136328,16.2449940889825,0.723690794929449,0.654534289787487,0,0.163412543571076,1174.81241084984,3118.34305248465,0,10071.4974553812,543.428240270296,7.62805088777366,9.09929699914684,6.78206107228468,7.94954049236047,34425.7193325447,55519.3025895793,25280.0530574581,42002.7397486784,11.5651043907364,13.7444031012783,10.2749936630652,11.9938692885909,0.820246661437891,1.49826193046376,9.45474700162726,10.4956073581271,0.593604958454214,1.08427836746985,6.18845611383047,6.86973490804006,922.286477972621,15873.186282498,24357.7665794855,26114.6792305624,0.00447278314943851,14.8742356179824,1.71887562552574,1.16747942007578,16722.6866912203
"2467",0.0675767960055131,0.777048331831608,0.583200090315884,0.453174657304001,1.80081618996175,12.6057120628314,1.2618473569738,15.9064844492565,0.75724297523825,0.577040938586001,0,0.207165014068098,743.505042656298,2263.57424948417,0,9996.04983396435,555.612015185516,6.319848070896,8.06656874867655,5.66328290153291,7.07245143099956,22895.8307697067,45286.9591092027,17059.0697703307,35111.7964566455,10.6863998829613,13.4587399977571,9.55576581093695,11.7574914497551,0.828041857095018,1.67532555635718,8.72772395384193,10.082165893398,0.627028879488438,1.26862850878859,5.03625402204448,5.81782247010614,589.127443443703,16879.9575793221,16469.942326887,18194.292397515,0.0139995478951591,37.5464798084037,2.20172563881819,1.40916852946665,18052.7266863148
"2468",0.0276261580938776,0.80101797340305,0.660480559842031,0.529056799516775,1.93914528414262,10.6364168312966,1.35875064414217,14.4522382208889,0.758149597284714,0.492132346789526,0,0.185713361820847,888.315780512437,2364.7044468006,0,10028.2290274602,527.269905741916,4.61234897855865,6.41437815422433,4.21557572125903,5.70474077678388,19918.9006059172,41291.081516311,15553.3763403738,32531.4328761092,8.93192378044551,12.2691170733567,8.13735565732601,10.8544570357391,0.79288010294644,1.38352647682886,7.34447555437958,9.47093055891027,0.601121730743906,1.04892004124054,3.61445399051512,4.66095128223714,674.540464706806,14265.8181635397,14878.835875667,18251.0482707953,0.00513054669380822,14.5664417741701,2.71710137841312,1.48916505552485,16978.0565357353
