full_index;Starting age;intervention;LY disc;LY;QALY disc;QALY;cost disc;costs;kf_incidence;ace costs;dapa costs;screening costs;discounted screening costs;diagnosis costs;PSA screening + office;avg on dapa;dis_LY_detected;dis_QALY_detected;dis_cost_detected;detected_total;original treated
556320;35;[0, 10, 20, 30, 40];23.81809887;43.8452735;18.24156249;31.744614;220179.2103;497716.5148;1.935813538;2787.38547;0;171.9561044;119.6771657;211.9581066;53.92631943;0;8.480301989;6.138286412;99156.76348;0.632042295;0.00200492
30681;35;Placebo;23.83878304;43.93597125;19.13200067;33.81815311;240747.7425;542011.7327;3.374023868;108.8067706;0;0;0;0;50.57490556;0;0.433909695;0.277857689;15868.82415;0.140553487;0.001521138
30681;35;[0, 10, 20, 30, 40];23.84335508;43.9550739;19.13721999;33.83537503;243383.1564;547870.6141;3.250829352;2330.791441;0;165.524329;114.2511966;227.3941475;50.57490556;0;7.966691398;6.130871327;104601.4485;0.598103869;0.001521138
348674;35;Placebo;23.80210725;43.76542537;19.52692774;34.64893753;332854.2622;744599.5141;2.235885437;125.5615511;0;0;0;0;44.07736075;0;0.483330238;0.312222832;16463.70589;0.157568412;0.002055869
348674;35;[0, 10, 20, 30, 40];23.80210725;43.76542537;19.526915;34.64891733;336334.2685;753192.0213;2.235885437;2397.218319;0;146.8863618;100.8557454;146.5906513;44.07736075;0;7.517752663;5.930376631;133755.0934;0.581832441;0.002055869
773769;35;Placebo;23.89406561;44.14332787;19.39643769;34.57079016;239122.4804;538305.6281;1.4000442;87.01281063;0;0;0;0;53.30692514;0;0.443231133;0.299219073;10624.36827;0.122024877;0.002142041
773769;35;[0, 10, 20, 30, 40];23.9026807;44.18066794;19.40651192;34.6061188;241155.0442;543239.578;1.27226182;1651.097843;0;174.5127297;120.4365668;160.831362;53.30692514;0;7.996280475;6.257378825;100392.5555;0.592289388;0.002142041
265011;35;Placebo;23.79904902;43.72806181;18.02080142;31.56941695;209656.2691;470286.9693;1.61555912;108.7856197;0;0;0;0;52.23966832;0;0.37142488;0.217755608;8597.315941;0.117464044;0.000945364
265011;35;[0, 10, 20, 30, 40];23.80270362;43.74387701;18.02543746;31.58398806;212356.3552;477030.5137;1.563132473;1966.875009;0;175.6545663;120.1098786;158.1741666;52.23966832;0;7.363102833;5.302154143;82687.49008;0.55458477;0.000945364
352995;35;Placebo;23.77603868;43.64426084;19.49582778;34.566706;226110.4273;509196.8858;2.426490195;188.6989214;0;0;0;0;47.90182558;0;0.535579494;0.365326277;14670.45446;0.174571791;0.001103931
352995;35;[0, 10, 20, 30, 40];23.78675214;43.68940971;19.50642169;34.60571058;228730.2601;515450.2303;2.239832968;2295.963618;0;165.2462928;112.2838019;123.6112114;47.90182558;0;6.725766506;5.307014255;84534.19808;0.542151066;0.001103931
144901;35;Placebo;23.74900451;43.57156052;18.81890477;33.11288741;216452.4828;486076.3298;5.423928758;128.8245794;0;0;0;0;50.04395491;0;0.582850832;0.356691411;18340.08827;0.190491365;0.00160262
144901;35;[0, 10, 20, 30, 40];23.76983462;43.65673117;18.84191448;33.18893585;219142.9302;492816.5965;4.883337475;2178.110061;0;158.9964604;110.8569777;183.5660241;50.04395491;0;8.494649237;6.445848194;101044.52;0.643195644;0.00160262
348674;35;Placebo;23.79936591;43.7445104;17.85745939;30.93352743;246863.9719;554038.8656;2.246031075;130.7574891;0;0;0;0;59.0849494;0;0.481992082;0.264663729;13513.10483;0.156856359;0.002055869
348674;35;[0, 10, 20, 30, 40];23.79936591;43.7445104;17.85745939;30.93352743;250434.3355;562725.6684;2.246031075;2573.272787;0;192.3737332;133.0440142;192.098749;59.0849494;0;8.022546755;5.661828118;106939.5869;0.608064634;0.002055869
485231;35;Placebo;23.7364357;43.43521846;20.21885668;36.06461602;301563.5611;671512.3284;2.859053748;203.8078356;0;0;0;0;47.84870013;0;0.635120536;0.454885006;19605.00037;0.210446594;0.001748631
485231;35;[0, 10, 20, 30, 40];23.75821953;43.52735327;20.24129181;36.1517488;305021.831;680217.8586;2.524164382;2804.899523;0;153.8269134;106.8178165;195.3605507;47.84870013;0;8.251936181;6.840736733;132820.0785;0.636918327;0.001748631
